color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,19.01744810002856,None,space,6.240252000046894,19.01744810002856,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,0,0,2,,,,,,,25.26533260004362,None,26.285349400015548,None,26.285349400015548,None,26.285349400015548,None,26.285349400015548,None,26.285349400015548,None,27.26991100003943,None,27.26991100003943,None,27.26991100003943,None,27.26991100003943,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,1,1,0,,,,,,,,,30.270242400001734,None,30.270242400001734,None,30.270242400001734,None,30.270242400001734,None,30.270242400001734,None,31.272847200045362,None,31.272847200045362,None,31.272847200045362,None,31.272847200045362,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,2,2,1,,,,,,,,,34.273562300018966,None,34.273562300018966,None,34.273562300018966,None,34.273562300018966,None,34.273562300018966,None,35.268456700025126,None,35.268456700025126,None,35.268456700025126,None,35.268456700025126,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,3,3,3,,,,,,,,,38.26913260004949,None,38.26913260004949,None,38.26913260004949,None,38.26913260004949,None,38.26913260004949,None,39.27183500002138,None,39.27183500002138,None,39.27183500002138,None,39.27183500002138,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
,,,,0,0,0,0,,,,,,,,,,,42.272244599997066,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",1,0,1,0,0,0,0,1,,,,,,,43.26848070003325,None,44.26957520004362,None,44.26957520004362,None,44.26957520004362,None,44.26957520004362,None,44.26957520004362,None,45.272412799997255,None,45.272412799997255,None,45.272412799997255,None,45.272412799997255,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,1,1,3,,,,,,,,,48.27231140004005,None,48.27231140004005,None,48.27231140004005,None,48.27231140004005,None,48.27231140004005,None,49.268472100025974,None,49.268472100025974,None,49.268472100025974,None,49.268472100025974,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,2,2,2,,,,,,,,,52.26930490002269,None,52.26930490002269,None,52.26930490002269,None,52.26930490002269,None,52.26930490002269,None,53.27058890002081,None,53.27058890002081,None,53.27058890002081,None,53.27058890002081,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",1,0,1,0,0,3,3,0,,,,,,,,,56.270612100022845,None,56.270612100022845,None,56.270612100022845,None,56.270612100022845,None,56.270612100022845,None,57.2734057000489,None,57.2734057000489,None,57.2734057000489,None,57.2734057000489,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
,,,,1,0,1,0,,,,,,,,,,,60.27355260000331,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",2,0,2,0,0,0,0,2,,,,,,,61.26897380000446,None,62.27140150003834,None,62.27140150003834,None,62.27140150003834,None,62.27140150003834,None,62.27140150003834,None,63.27408290002495,None,63.27408290002495,None,63.27408290002495,None,63.27408290002495,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",2,0,2,0,0,1,1,1,,,,,,,,,66.2743596000364,None,66.2743596000364,None,66.2743596000364,None,66.2743596000364,None,66.2743596000364,None,67.26892890001182,None,67.26892890001182,None,67.26892890001182,None,67.26892890001182,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",2,0,2,0,0,2,2,0,,,,,,,,,70.2691900000209,None,70.2691900000209,None,70.2691900000209,None,70.2691900000209,None,70.2691900000209,None,71.27230569999665,None,71.27230569999665,None,71.27230569999665,None,71.27230569999665,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",2,0,2,0,0,3,3,3,,,,,,,,,74.27268550003646,None,74.27268550003646,None,74.27268550003646,None,74.27268550003646,None,74.27268550003646,None,75.26842410000972,None,75.26842410000972,None,75.26842410000972,None,75.26842410000972,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
,,,,2,0,2,0,,,,,,,,,,,78.26854330004426,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",3,0,3,0,0,0,0,1,,,,,,,79.27038750000065,None,80.27400150004542,None,80.27400150004542,None,80.27400150004542,None,80.27400150004542,None,80.27400150004542,None,81.26981680002064,None,81.26981680002064,None,81.26981680002064,None,81.26981680002064,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",3,0,3,0,0,1,1,2,,,,,,,,,84.26979770004982,None,84.26979770004982,None,84.26979770004982,None,84.26979770004982,None,84.26979770004982,None,85.27233090001391,None,85.27233090001391,None,85.27233090001391,None,85.27233090001391,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",3,0,3,0,0,2,2,3,,,,,,,,,88.27279570000246,None,88.27279570000246,None,88.27279570000246,None,88.27279570000246,None,88.27279570000246,None,89.26878370001214,None,89.26878370001214,None,89.26878370001214,None,89.26878370001214,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",3,0,3,0,0,3,3,0,,,,,,,,,92.26908690005075,None,92.26908690005075,None,92.26908690005075,None,92.26908690005075,None,92.26908690005075,None,93.27062760002445,None,93.27062760002445,None,93.27062760002445,None,93.27062760002445,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
,,,,3,0,3,0,,,,,,,,,,,96.27110040001571,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",4,0,4,0,0,0,0,0,,,,,,,97.27347690000897,None,98.27063770004315,None,98.27063770004315,None,98.27063770004315,None,98.27063770004315,None,98.27063770004315,None,99.26838260004297,None,99.26838260004297,None,99.26838260004297,None,99.26838260004297,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",4,0,4,0,0,1,1,1,,,,,,,,,102.26825830002781,None,102.26825830002781,None,102.26825830002781,None,102.26825830002781,None,102.26825830002781,None,103.27079370000865,None,103.27079370000865,None,103.27079370000865,None,103.27079370000865,None,,001,2020_Dec_02_1949,offline,2020.2.6,120,
