color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9.082812200009357,None,space,2.3459399999992456,9.082812200009357,None,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,0,0,3,,,,,,,11.436391399998683,None,12.463245199993253,None,12.463245199993253,None,12.463245199993253,None,12.463245199993253,None,12.463245199993253,None,13.44278799998574,None,13.44278799998574,None,13.44278799998574,None,13.44278799998574,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,1,1,1,,,,,,,,,16.441869000002043,None,16.441869000002043,None,16.441869000002043,None,16.441869000002043,None,16.441869000002043,None,17.444012199994177,None,17.444012199994177,None,17.444012199994177,None,17.444012199994177,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,2,2,2,,,,,,,,,20.44318609999027,None,20.44318609999027,None,20.44318609999027,None,20.44318609999027,None,20.44318609999027,None,21.44532500000787,None,21.44532500000787,None,21.44532500000787,None,21.44532500000787,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,3,3,0,,,,,,,,,24.443838000006508,None,24.443838000006508,None,24.443838000006508,None,24.443838000006508,None,24.443838000006508,None,25.43780779998633,None,25.43780779998633,None,25.43780779998633,None,25.43780779998633,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
,,,,0,0,0,0,,,,,,,,,,,28.44052480001119,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,0,0,3,,,,,,,29.442926799994893,None,30.44521309999982,None,30.44521309999982,None,30.44521309999982,None,30.44521309999982,None,30.44521309999982,None,31.43913220000104,None,31.43913220000104,None,31.43913220000104,None,31.43913220000104,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",1,0,1,0,0,1,1,1,,,,,,,,,34.44325680000475,None,34.44325680000475,None,34.44325680000475,None,34.44325680000475,None,34.44325680000475,None,35.445534400001634,None,35.445534400001634,None,35.445534400001634,None,35.445534400001634,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,2,2,2,,,,,,,,,38.44444150000345,None,38.44444150000345,None,38.44444150000345,None,38.44444150000345,None,38.44444150000345,None,39.44123080000281,None,39.44123080000281,None,39.44123080000281,None,39.44123080000281,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",1,0,1,0,0,3,3,0,,,,,,,,,42.43847449999885,None,42.43847449999885,None,42.43847449999885,None,42.43847449999885,None,42.43847449999885,None,43.43901269999333,None,43.43901269999333,None,43.43901269999333,None,43.43901269999333,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
,,,,1,0,1,0,,,,,,,,,,,46.43785829999251,None,,,,,,,,,,,,,,,,,,,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",2,0,2,0,0,0,0,1,,,,,,,47.44013470000937,None,48.44233990000794,None,48.44233990000794,None,48.44233990000794,None,48.44233990000794,None,48.44233990000794,None,49.444714799989015,None,49.444714799989015,None,49.444714799989015,None,49.444714799989015,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",2,0,2,0,0,1,1,3,,,,,,,,,52.443275900004664,None,52.443275900004664,None,52.443275900004664,None,52.443275900004664,None,52.443275900004664,None,53.43759240000509,None,53.43759240000509,None,53.43759240000509,None,53.43759240000509,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",2,0,2,0,0,2,2,2,,,,,,,,,56.44440969999414,None,56.44440969999414,None,56.44440969999414,None,56.44440969999414,None,56.44440969999414,None,57.43829709998681,None,57.43829709998681,None,57.43829709998681,None,57.43829709998681,None,,001,2020_Nov_22_1719,offline,2020.2.6,118.80534101679002,
