0.2601 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
1.7848 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
6.5033 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [3440, 1440]. Using actual size
6.7106 	WARNING 	Framebuffer object (FBO) not supported on this graphics card
6.8184 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=UNKNOWN, color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=UNKNOWN, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000201AB76ED60>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000201AB7CEC70>, multiSample=False, name='window1', numSamples=2, pos=None, screen=2, size=array([3440, 1440]), stencilBits=UNKNOWN, stereo=False, units='height', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pygame')
6.8184 	EXP 	window1: mouseVisible = True
6.8185 	EXP 	window1: recordFrameIntervals = False
6.8299 	EXP 	window1: recordFrameIntervals = True
6.8415 	EXP 	window1: recordFrameIntervals = False
6.8748 	EXP 	Created square1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square1', opacity=1.0, ori=array(0.), pos=array([  0., 400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.8760 	EXP 	Created square2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square2', opacity=1.0, ori=array(0.), pos=array([-400.,    0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.8770 	EXP 	Created square3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square3', opacity=1.0, ori=array(0.), pos=array([400.,   0.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.8784 	EXP 	Created square4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='square4', opacity=1.0, ori=array(0.), pos=array([   0., -400.]), size=array([200., 200.]), units='pix', vertices=ndarray(...), win=Window(...))
6.8955 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), texRes=128, units='height', win=Window(...))
6.9130 	EXP 	image: image = 'game.jpg'
6.9130 	EXP 	image: image = 'game.jpg'
6.9130 	EXP 	square1: autoDraw = True
6.9130 	EXP 	square2: autoDraw = True
6.9130 	EXP 	square3: autoDraw = True
6.9130 	EXP 	square4: autoDraw = True
6.9130 	EXP 	image: autoDraw = True
6.9268 	EXP 	image: image = 'game.jpg'
6.9452 	EXP 	image: image = 'game.jpg'
6.9604 	EXP 	image: image = 'game.jpg'
6.9772 	EXP 	image: image = 'game.jpg'
6.9925 	EXP 	image: image = 'game.jpg'
7.0105 	EXP 	image: image = 'game.jpg'
7.0252 	EXP 	image: image = 'game.jpg'
7.0437 	EXP 	image: image = 'game.jpg'
7.0605 	EXP 	image: image = 'game.jpg'
7.0774 	EXP 	image: image = 'game.jpg'
7.0959 	EXP 	image: image = 'game.jpg'
7.1979 	EXP 	image: image = 'game.jpg'
7.2101 	EXP 	image: image = 'game.jpg'
7.2274 	EXP 	image: image = 'game.jpg'
7.2397 	EXP 	image: image = 'game.jpg'
7.2576 	EXP 	image: image = 'game.jpg'
7.2756 	EXP 	image: image = 'game.jpg'
7.2910 	EXP 	image: image = 'game.jpg'
7.3312 	EXP 	image: image = 'game.jpg'
7.3454 	EXP 	image: image = 'game.jpg'
7.3582 	EXP 	image: image = 'game.jpg'
7.3731 	EXP 	image: image = 'game.jpg'
7.3899 	EXP 	image: image = 'game.jpg'
7.4069 	EXP 	image: image = 'game.jpg'
7.4299 	EXP 	image: image = 'game.jpg'
7.4424 	EXP 	image: image = 'game.jpg'
7.4577 	EXP 	image: image = 'game.jpg'
7.4751 	EXP 	image: image = 'game.jpg'
7.4903 	EXP 	image: image = 'game.jpg'
7.5077 	EXP 	image: image = 'game.jpg'
7.5230 	EXP 	image: image = 'game.jpg'
7.5941 	EXP 	image: image = 'game.jpg'
7.6056 	EXP 	image: image = 'game.jpg'
7.6198 	EXP 	image: image = 'game.jpg'
7.6344 	EXP 	image: image = 'game.jpg'
7.6513 	EXP 	image: image = 'game.jpg'
7.6682 	EXP 	image: image = 'game.jpg'
7.6835 	EXP 	image: image = 'game.jpg'
7.7062 	EXP 	image: image = 'game.jpg'
7.7216 	EXP 	image: image = 'game.jpg'
7.7358 	EXP 	image: image = 'game.jpg'
7.7507 	EXP 	image: image = 'game.jpg'
7.7678 	EXP 	image: image = 'game.jpg'
7.7854 	EXP 	image: image = 'game.jpg'
7.8019 	EXP 	image: image = 'game.jpg'
7.8196 	EXP 	image: image = 'game.jpg'
7.8357 	EXP 	image: image = 'game.jpg'
7.8526 	EXP 	image: image = 'game.jpg'
7.8689 	EXP 	image: image = 'game.jpg'
7.8847 	EXP 	image: image = 'game.jpg'
7.9013 	EXP 	image: image = 'game.jpg'
7.9185 	EXP 	image: image = 'game.jpg'
7.9377 	EXP 	image: image = 'game.jpg'
7.9513 	EXP 	image: image = 'game.jpg'
7.9676 	EXP 	image: image = 'game.jpg'
7.9848 	EXP 	image: image = 'game.jpg'
8.0015 	EXP 	image: image = 'game.jpg'
8.0214 	EXP 	image: image = 'game.jpg'
8.0372 	EXP 	image: image = 'game.jpg'
8.0527 	EXP 	image: image = 'game.jpg'
8.0684 	EXP 	image: image = 'game.jpg'
8.0849 	EXP 	image: image = 'game.jpg'
8.1022 	EXP 	image: image = 'game.jpg'
8.1189 	EXP 	image: image = 'game.jpg'
8.1369 	EXP 	image: image = 'game.jpg'
8.1519 	EXP 	image: image = 'game.jpg'
8.1697 	EXP 	image: image = 'game.jpg'
8.1860 	EXP 	image: image = 'game.jpg'
8.2010 	EXP 	image: image = 'game.jpg'
8.2193 	EXP 	image: image = 'game.jpg'
8.2359 	EXP 	image: image = 'game.jpg'
8.2540 	EXP 	image: image = 'game.jpg'
8.2685 	EXP 	image: image = 'game.jpg'
8.2849 	EXP 	image: image = 'game.jpg'
8.3014 	EXP 	image: image = 'game.jpg'
8.3189 	EXP 	image: image = 'game.jpg'
8.3513 	EXP 	image: image = 'game.jpg'
8.3622 	EXP 	image: image = 'game.jpg'
8.3765 	EXP 	image: image = 'game.jpg'
8.4168 	EXP 	image: image = 'game.jpg'
8.4242 	EXP 	image: image = 'game.jpg'
8.4415 	EXP 	image: image = 'game.jpg'
8.4576 	EXP 	image: image = 'game.jpg'
8.4759 	EXP 	image: image = 'game.jpg'
8.4908 	EXP 	image: image = 'game.jpg'
8.5082 	EXP 	image: image = 'game.jpg'
8.5244 	EXP 	image: image = 'game.jpg'
8.5415 	EXP 	image: image = 'game.jpg'
8.5566 	EXP 	image: image = 'game.jpg'
8.5836 	EXP 	image: image = 'game.jpg'
8.5907 	EXP 	image: image = 'game.jpg'
8.6074 	EXP 	image: image = 'game.jpg'
8.6251 	EXP 	image: image = 'game.jpg'
8.6416 	EXP 	image: image = 'game.jpg'
8.6571 	EXP 	image: image = 'game.jpg'
8.6754 	EXP 	image: image = 'game.jpg'
8.6913 	EXP 	image: image = 'game.jpg'
8.7082 	EXP 	image: image = 'game.jpg'
8.7241 	EXP 	image: image = 'game.jpg'
8.7409 	EXP 	image: image = 'game.jpg'
8.7584 	EXP 	image: image = 'game.jpg'
8.7752 	EXP 	image: image = 'game.jpg'
8.7923 	EXP 	image: image = 'game.jpg'
8.8085 	EXP 	image: image = 'game.jpg'
8.8239 	EXP 	image: image = 'game.jpg'
8.8404 	EXP 	image: image = 'game.jpg'
8.8570 	EXP 	image: image = 'game.jpg'
8.8750 	EXP 	image: image = 'game.jpg'
8.8916 	EXP 	image: image = 'game.jpg'
8.9070 	EXP 	image: image = 'game.jpg'
8.9241 	EXP 	image: image = 'game.jpg'
8.9409 	EXP 	image: image = 'game.jpg'
8.9578 	EXP 	image: image = 'game.jpg'
8.9754 	EXP 	image: image = 'game.jpg'
9.0072 	EXP 	image: image = 'game.jpg'
9.0181 	EXP 	image: image = 'game.jpg'
9.0314 	EXP 	image: image = 'game.jpg'
9.0484 	EXP 	image: image = 'game.jpg'
9.0651 	EXP 	image: image = 'game.jpg'
9.0825 	EXP 	image: image = 'game.jpg'
9.0984 	EXP 	image: image = 'game.jpg'
9.1154 	EXP 	image: image = 'game.jpg'
9.1322 	EXP 	image: image = 'game.jpg'
9.1497 	EXP 	image: image = 'game.jpg'
9.1679 	EXP 	image: image = 'game.jpg'
9.1825 	EXP 	image: image = 'game.jpg'
9.1985 	EXP 	image: image = 'game.jpg'
9.2188 	EXP 	image: image = 'game.jpg'
9.2330 	EXP 	image: image = 'game.jpg'
9.2481 	EXP 	image: image = 'game.jpg'
9.2663 	EXP 	image: image = 'game.jpg'
9.2812 	EXP 	image: image = 'game.jpg'
9.2980 	EXP 	image: image = 'game.jpg'
9.3157 	EXP 	image: image = 'game.jpg'
9.3319 	EXP 	image: image = 'game.jpg'
9.3496 	EXP 	image: image = 'game.jpg'
9.3653 	EXP 	image: image = 'game.jpg'
9.3828 	EXP 	image: image = 'game.jpg'
9.3979 	EXP 	image: image = 'game.jpg'
9.4162 	EXP 	image: image = 'game.jpg'
9.4319 	EXP 	image: image = 'game.jpg'
9.4501 	EXP 	image: image = 'game.jpg'
9.4664 	EXP 	image: image = 'game.jpg'
9.4822 	EXP 	image: image = 'game.jpg'
9.4986 	EXP 	image: image = 'game.jpg'
9.5160 	EXP 	image: image = 'game.jpg'
9.5308 	EXP 	image: image = 'game.jpg'
9.5499 	EXP 	image: image = 'game.jpg'
9.5656 	EXP 	image: image = 'game.jpg'
9.5841 	EXP 	image: image = 'game.jpg'
9.6068 	EXP 	image: image = 'game.jpg'
9.6169 	EXP 	image: image = 'game.jpg'
9.6329 	EXP 	image: image = 'game.jpg'
9.6489 	EXP 	image: image = 'game.jpg'
9.6656 	EXP 	image: image = 'game.jpg'
9.6820 	EXP 	image: image = 'game.jpg'
9.6996 	EXP 	image: image = 'game.jpg'
