color1,color2,color3,color4,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,circles.thisRepN,circles.thisTrialN,circles.thisN,circles.thisIndex,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,blank_img.started,blank_img.stopped,pause.started,pause.stopped,indicate1.started,indicate1.stopped,indcate2.started,indcate2.stopped,indcate3.started,indcate3.stopped,indicate4.started,indicate4.stopped,square1.started,square1.stopped,square2.started,square2.stopped,square3.started,square3.stopped,square4.started,square4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.05981070001144,None,space,4.364088499976788,17.05981070001144,None,,,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,0,0,2,,,,,,,21.432093999988865,None,22.462273599987384,None,22.462273599987384,None,22.462273599987384,None,22.462273599987384,None,22.462273599987384,None,23.43767160002608,None,23.43767160002608,None,23.43767160002608,None,23.43767160002608,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",0,0,0,0,0,1,1,1,,,,,,,,,26.436163100006524,None,26.436163100006524,None,26.436163100006524,None,26.436163100006524,None,26.436163100006524,None,27.438519400020596,None,27.438519400020596,None,27.438519400020596,None,27.438519400020596,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",0,0,0,0,0,2,2,3,,,,,,,,,30.439897699980065,None,30.439897699980065,None,30.439897699980065,None,30.439897699980065,None,30.439897699980065,None,31.439822499989532,None,31.439822499989532,None,31.439822499989532,None,31.439822499989532,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",0,0,0,0,0,3,3,0,,,,,,,,,34.43864599999506,None,34.43864599999506,None,34.43864599999506,None,34.43864599999506,None,34.43864599999506,None,35.43256079999264,None,35.43256079999264,None,35.43256079999264,None,35.43256079999264,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
,,,,0,0,0,0,,,,,,,,,,,38.43974579998758,None,,,,,,,,,,,,,,,,,,,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[1, 1, 1]",1,0,1,0,0,0,0,1,,,,,,,39.43357880000258,None,40.435816399985924,None,40.435816399985924,None,40.435816399985924,None,40.435816399985924,None,40.435816399985924,None,41.438314499973785,None,41.438314499973785,None,41.438314499973785,None,41.438314499973785,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,1,1,3,,,,,,,,,44.4376079000067,None,44.4376079000067,None,44.4376079000067,None,44.4376079000067,None,44.4376079000067,None,45.43996430002153,None,45.43996430002153,None,45.43996430002153,None,45.43996430002153,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]",1,0,1,0,0,2,2,0,,,,,,,,,48.438489700027276,None,48.438489700027276,None,48.438489700027276,None,48.438489700027276,None,48.438489700027276,None,49.43236209999304,None,49.43236209999304,None,49.43236209999304,None,49.43236209999304,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
"[1, 1, 1]","[1, 0, 0]","[1, 1, 1]","[1, 1, 1]",1,0,1,0,0,3,3,2,,,,,,,,,52.439481600013096,None,52.439481600013096,None,52.439481600013096,None,52.439481600013096,None,52.439481600013096,None,53.433234600001015,None,53.433234600001015,None,53.433234600001015,None,53.433234600001015,None,sultan,001,2020_Nov_24_0937,offline,2020.2.6,120,
