,P7,O1,O2,P8,TIME
0,4607.179,3946.154,3877.949,4318.974,1607035899.7903
1,4627.692,3964.103,3887.692,4328.205,1607035899.7983
2,4628.205,3965.641,3902.564,4330.769,1607035899.8061
3,4613.333,3949.744,3892.308,4330.769,1607035899.814
4,4615.897,3940.513,3881.026,4338.462,1607035899.8218
5,4617.436,3941.026,3894.872,4336.923,1607035899.8297
6,4613.846,3946.667,3900.513,4325.128,1607035899.8376
7,4612.821,3951.282,3890.769,4328.718,1607035899.8455
8,4613.333,3957.949,3893.846,4335.385,1607035899.8533
9,4623.077,3958.462,3892.821,4325.641,1607035899.8612
10,4622.051,3945.128,3876.41,4318.974,1607035899.869
11,4620.513,3952.821,3889.231,4333.333,1607035899.8769
12,4638.462,3974.359,3913.846,4346.154,1607035899.8847
13,4639.487,3965.128,3905.641,4344.615,1607035899.8924
14,4616.41,3951.795,3902.564,4352.821,1607035899.9002
15,4620.513,3968.718,3924.103,4368.205,1607035899.9079
16,4638.462,3978.462,3928.205,4362.564,1607035899.9158
17,4631.282,3970.769,3923.59,4359.487,1607035899.9235
18,4635.385,3982.564,3943.59,4384.103,1607035899.9313
19,4663.59,4006.154,3969.231,4408.718,1607035899.939
20,4680.513,4014.359,3978.462,4408.718,1607035899.9468
21,4674.872,4017.949,3985.128,4405.641,1607035899.9546
22,4670.256,4033.333,4003.077,4419.487,1607035899.9624
23,4673.846,4035.897,4007.692,4425.641,1607035899.9701
24,4680.0,4023.077,3994.359,4417.436,1607035899.978
25,4674.872,4014.872,3987.179,4412.308,1607035899.9858
26,4657.949,4007.692,3979.487,4403.077,1607035899.9938
27,4654.359,4003.077,3973.333,4394.872,1607035900.0016
28,4650.256,4000.0,3972.821,4398.974,1607035900.0095
29,4636.923,3990.256,3961.538,4389.744,1607035900.0173
30,4643.077,3989.231,3944.615,4359.487,1607035900.0252
31,4655.385,4004.103,3951.795,4353.846,1607035900.0331
32,4656.923,4011.282,3972.821,4389.231,1607035900.041
33,4666.667,4017.436,3981.538,4415.385,1607035900.0488
34,4672.308,4030.256,3984.103,4406.154,1607035900.0567
35,4647.179,4009.744,3968.718,4378.974,1607035900.0646
36,4622.051,3974.359,3938.462,4369.744,1607035900.0723
37,4610.256,3965.128,3915.385,4361.026,1607035900.0801
38,4615.897,3973.846,3912.308,4341.026,1607035900.0878
39,4633.846,3979.487,3912.821,4325.641,1607035900.0956
40,4627.179,3976.923,3900.0,4325.641,1607035900.1034
41,4608.718,3964.103,3889.744,4332.821,1607035900.1112
42,4615.385,3958.974,3893.333,4328.205,1607035900.1189
43,4624.103,3972.308,3900.0,4318.974,1607035900.1267
44,4608.718,3966.154,3883.59,4309.231,1607035900.1344
45,4601.026,3948.205,3862.051,4303.59,1607035900.1423
46,4608.718,3951.795,3873.846,4316.41,1607035900.15
47,4608.718,3958.462,3890.256,4325.641,1607035900.1579
48,4613.846,3958.462,3880.513,4310.769,1607035900.1657
49,4620.513,3958.974,3869.744,4300.0,1607035900.1736
50,4604.103,3942.564,3863.59,4310.769,1607035900.1815
51,4594.359,3927.692,3857.436,4315.385,1607035900.1894
52,4612.308,3944.615,3866.154,4311.795,1607035900.1972
53,4626.667,3964.103,3874.872,4319.487,1607035900.2051
54,4609.744,3944.103,3856.41,4312.821,1607035900.2129
55,4590.256,3923.59,3842.564,4283.59,1607035900.2209
56,4600.513,3944.615,3856.923,4283.077,1607035900.2287
57,4631.282,3975.897,3880.513,4327.179,1607035900.2366
58,4636.923,3975.385,3893.333,4347.179,1607035900.2444
59,4613.333,3957.436,3886.154,4325.128,1607035900.2521
60,4603.59,3954.872,3876.41,4318.462,1607035900.26
61,4618.974,3963.077,3883.077,4336.923,1607035900.2677
62,4622.051,3960.513,3889.231,4339.487,1607035900.2755
63,4608.205,3940.513,3870.256,4314.872,1607035900.2832
64,4614.359,3945.128,3867.179,4307.692,1607035900.2911
65,4631.282,3973.333,3894.359,4333.846,1607035900.299
66,4618.462,3967.692,3891.282,4338.462,1607035900.3068
67,4601.026,3941.538,3853.333,4303.59,1607035900.3145
68,4601.026,3935.897,3846.667,4298.974,1607035900.3223
69,4598.462,3940.0,3864.615,4325.128,1607035900.33
70,4595.385,3941.538,3860.0,4315.385,1607035900.338
71,4594.872,3938.974,3847.179,4292.821,1607035900.3458
72,4596.41,3933.333,3852.308,4303.077,1607035900.3537
73,4606.154,3940.513,3857.949,4315.385,1607035900.3615
74,4597.949,3942.051,3849.231,4304.103,1607035900.3694
75,4576.923,3926.667,3838.974,4299.487,1607035900.3773
76,4578.462,3922.051,3836.923,4302.051,1607035900.3852
77,4582.051,3926.154,3830.769,4292.821,1607035900.393
78,4577.436,3923.077,3830.769,4286.667,1607035900.4009
79,4582.564,3916.41,3840.0,4293.333,1607035900.4087
80,4581.538,3914.872,3832.821,4293.846,1607035900.4167
