,P7,O1,O2,P8,TIME
0,4820.513,4109.744,3987.692,4463.59,1606508901.0377
1,4735.897,4056.41,3957.436,4408.718,1606508901.0455
2,4724.103,4021.026,3957.949,4401.538,1606508901.0532
3,4729.231,4019.487,3946.667,4403.077,1606508901.061
4,4717.949,4032.821,3926.154,4386.667,1606508901.0687
5,4715.385,4005.128,3922.051,4381.026,1606508901.0766
6,4714.359,3983.077,3917.436,4376.41,1606508901.0843
7,4705.128,4005.641,3914.359,4370.256,1606508901.0921
8,4666.667,3988.205,3905.128,4353.846,1606508901.0998
9,4649.744,3964.615,3891.795,4339.487,1606508901.1077
10,4668.205,3981.026,3898.462,4335.897,1606508901.1156
11,4637.949,3969.231,3895.385,4312.821,1606508901.1235
12,4590.256,3939.487,3874.872,4289.231,1606508901.1313
13,4630.256,3950.769,3888.205,4310.769,1606508901.1392
14,4687.692,3962.564,3907.692,4340.513,1606508901.147
15,4652.308,3931.282,3870.256,4320.513,1606508901.155
16,4591.282,3895.897,3824.103,4271.282,1606508901.1628
17,4594.359,3903.59,3831.282,4256.41,1606508901.1707
18,4613.333,3918.974,3847.692,4266.667,1606508901.1785
19,4596.41,3907.692,3837.436,4257.949,1606508901.1864
20,4574.359,3891.795,3823.077,4237.949,1606508901.1943
21,4569.744,3893.333,3820.513,4237.436,1606508901.202
22,4563.59,3906.667,3822.051,4234.872,1606508901.2098
23,4564.103,3900.0,3823.077,4228.205,1606508901.2175
24,4561.026,3863.59,3825.128,4231.282,1606508901.2253
25,4535.385,3834.359,3813.846,4220.513,1606508901.2331
26,4541.538,3852.308,3811.282,4219.487,1606508901.2409
27,4552.308,3847.692,3805.641,4218.974,1606508901.2486
28,4532.821,3814.872,3788.718,4205.128,1606508901.2564
29,4543.59,3847.692,3801.538,4221.538,1606508901.2641
30,4588.718,3904.103,3828.718,4251.282,1606508901.272
31,4601.538,3897.949,3828.718,4251.282,1606508901.2797
32,4591.282,3891.282,3833.846,4255.897,1606508901.2876
33,4586.154,3913.846,3849.744,4265.641,1606508901.2954
34,4588.718,3912.821,3844.615,4256.923,1606508901.3033
35,4597.949,3913.333,3855.385,4264.103,1606508901.3112
36,4584.103,3905.641,3877.436,4274.359,1606508901.3191
37,4588.718,3879.487,3873.333,4282.564,1606508901.3269
38,4639.487,3902.564,3863.077,4303.59,1606508901.3348
39,4651.795,3942.051,3859.487,4298.462,1606508901.3426
40,4628.205,3937.949,3860.513,4281.538,1606508901.3506
41,4629.231,3930.769,3871.282,4302.051,1606508901.3584
42,4628.718,3937.949,3876.41,4315.385,1606508901.3663
43,4632.821,3942.564,3872.821,4305.641,1606508901.3741
44,4655.385,3946.154,3867.692,4302.564,1606508901.3818
45,4680.0,3955.897,3874.872,4313.333,1606508901.3897
46,4684.103,3964.615,3889.744,4319.487,1606508901.3974
47,4660.0,3969.231,3887.692,4307.179,1606508901.4052
48,4635.385,3960.513,3880.513,4291.795,1606508901.4129
49,4660.513,3956.923,3903.077,4303.59,1606508901.4207
50,4706.667,3967.692,3925.641,4330.256,1606508901.4285
51,4694.359,3967.179,3903.077,4323.59,1606508901.4363
52,4655.385,3954.872,3884.615,4303.59,1606508901.444
53,4645.641,3941.538,3889.744,4293.846,1606508901.4518
54,4678.462,3961.026,3902.564,4300.513,1606508901.4595
55,4695.897,3987.179,3914.359,4315.897,1606508901.4674
