P7,O1,O2,P8,Label
4578.462,3935.897,3865.641,4278.462,0
4569.231,3936.41,3867.692,4274.359,0
4570.256,3938.462,3856.923,4275.897,0
4569.231,3935.385,3847.692,4269.744,0
4577.436,3946.154,3861.538,4270.769,0
4596.923,3963.59,3874.359,4287.179,0
4589.744,3954.872,3862.564,4288.205,0
4566.667,3931.795,3847.179,4275.897,0
4566.667,3926.667,3850.769,4276.41,0
4569.231,3931.282,3856.923,4278.462,0
4563.077,3932.821,3857.949,4277.949,0
4569.231,3941.538,3864.615,4281.026,0
4581.538,3952.308,3880,4282.564,0
4570.769,3940.513,3874.872,4275.897,0
4560.513,3926.667,3847.692,4272.821,0
4574.872,3937.949,3843.077,4282.564,0
4589.231,3950.769,3862.564,4296.923,0
4583.59,3947.179,3863.077,4300,0
4574.872,3942.564,3851.795,4292.821,0
4580,3940.513,3858.462,4285.641,0
4583.59,3936.41,3863.59,4282.051,0
4580.513,3937.436,3858.462,4282.051,0
4575.897,3938.974,3868.205,4282.564,0
4572.821,3940,3882.051,4286.667,0
4576.923,3945.128,3869.744,4290.256,0
4582.051,3945.641,3851.795,4285.641,0
4580,3946.667,3862.051,4283.077,0
4585.641,3960.513,3876.923,4298.974,0
4590.769,3960,3867.179,4305.641,0
4577.436,3942.564,3858.462,4294.872,0
4571.282,3941.026,3865.641,4295.897,0
4587.692,3950.769,3869.744,4304.615,0
4591.795,3947.692,3866.667,4301.026,0
4584.615,3950.256,3869.231,4296.923,0
4586.154,3961.026,3876.41,4302.051,0
4586.667,3956.923,3876.923,4299.487,0
4588.205,3953.333,3876.41,4297.949,0
4596.41,3963.59,3883.077,4305.641,0
4595.385,3969.231,3885.641,4305.128,0
4585.641,3961.026,3869.744,4291.282,0
4585.128,3950.769,3851.795,4286.154,0
4589.744,3946.667,3854.872,4294.359,0
4594.872,3952.821,3873.846,4305.128,0
4594.359,3955.385,3873.846,4302.564,0
4587.179,3945.641,3856.923,4289.231,0
4579.487,3944.615,3858.462,4281.538,0
4581.026,3954.359,3867.692,4283.077,0
4580.513,3949.231,3862.051,4286.667,0
4575.897,3939.487,3863.59,4290.769,0
4575.897,3947.179,3869.744,4292.308,0
4584.103,3964.103,3864.103,4290.769,0
4592.821,3967.692,3870.256,4298.974,0
4589.231,3955.897,3881.026,4306.667,0
4586.667,3952.308,3876.923,4302.564,0
4592.308,3960,3880.513,4300.513,0
4591.282,3963.077,3882.564,4300.513,0
4583.59,3951.795,3860,4290.769,0
4582.051,3943.077,3849.231,4285.641,0
4581.026,3948.205,3866.667,4291.795,0
4586.667,3960,3876.41,4300.513,0
4597.436,3955.897,3868.205,4300,0
4593.333,3949.231,3867.692,4293.333,0
4581.026,3959.487,3876.41,4293.333,0
4578.974,3961.026,3878.974,4301.026,0
4582.051,3945.128,3872.308,4301.538,0
4584.615,3943.077,3871.282,4300,0
4589.231,3950.769,3868.205,4296.41,0
4587.692,3946.154,3852.308,4280,0
4586.154,3944.615,3850.256,4273.846,0
4594.872,3958.462,3869.744,4287.179,0
4596.41,3965.641,3878.974,4289.744,0
4578.974,3955.385,3864.103,4277.949,0
4572.821,3946.154,3853.846,4280,0
4587.692,3951.282,3860,4285.128,0
4596.923,3955.897,3870.256,4292.308,0
4589.744,3950.769,3872.821,4301.538,0
4583.59,3954.359,3864.615,4297.436,0
4582.051,3954.872,3858.974,4285.128,0
4585.641,3946.667,3871.795,4291.282,0
4591.795,3947.692,3877.949,4301.538,0
4588.205,3951.282,3862.564,4293.846,0
4575.897,3945.641,3856.923,4285.128,0
4572.821,3944.103,3864.615,4283.077,0
4581.538,3952.308,3864.103,4283.59,0
4590.256,3960,3866.154,4290.256,0
4592.821,3961.026,3878.974,4299.487,0
4591.795,3961.538,3879.487,4300,0
4593.333,3964.615,3870.256,4295.385,0
