,P7,O1,O2,P8,TIME
0,4622.564,3925.128,3829.231,4395.385,1606956573.2834
1,4628.718,3932.821,3834.872,4395.897,1606956573.2913
2,4625.641,3924.103,3832.308,4388.205,1606956573.2992
3,4623.077,3916.41,3825.641,4390.769,1606956573.307
4,4621.538,3918.974,3827.179,4397.436,1606956573.3148
5,4620.0,3921.538,3833.846,4397.949,1606956573.3226
6,4621.538,3923.077,3836.923,4391.795,1606956573.3304
7,4616.41,3916.41,3829.744,4377.436,1606956573.3382
8,4610.256,3908.205,3819.487,4369.744,1606956573.3459
9,4614.359,3909.231,3817.949,4369.231,1606956573.3537
10,4618.462,3917.436,3826.154,4368.718,1606956573.3614
11,4615.897,3919.487,3829.231,4369.744,1606956573.3693
12,4615.385,3912.821,3822.051,4367.179,1606956573.377
13,4613.333,3906.154,3822.051,4366.667,1606956573.3848
14,4607.692,3907.179,3833.333,4370.256,1606956573.3925
15,4609.231,3908.205,3837.436,4367.692,1606956573.4003
16,4610.256,3903.077,3829.744,4357.949,1606956573.4081
17,4604.103,3901.026,3822.564,4352.821,1606956573.416
18,4601.538,3902.564,3821.026,4351.282,1606956573.4238
19,4609.231,3905.641,3826.667,4350.769,1606956573.4317
20,4611.795,3911.282,3834.872,4350.769,1606956573.4395
21,4600.513,3903.077,3828.718,4344.103,1606956573.4475
22,4597.949,3894.872,3823.59,4338.974,1606956573.4553
23,4610.256,3904.103,3837.949,4347.179,1606956573.4632
24,4615.385,3910.769,3844.615,4351.795,1606956573.471
25,4608.718,3903.077,3832.308,4333.846,1606956573.4789
26,4600.0,3897.436,3823.59,4317.949,1606956573.4868
27,4600.0,3902.564,3826.667,4322.051,1606956573.4947
28,4603.59,3906.667,3828.718,4319.487,1606956573.5025
29,4607.692,3905.641,3829.744,4312.308,1606956573.5102
30,4616.923,3905.641,3832.308,4320.513,1606956573.518
31,4620.513,3907.179,3836.923,4320.513,1606956573.5258
32,4609.744,3902.051,3842.051,4310.256,1606956573.5336
33,4600.0,3895.897,3838.974,4311.795,1606956573.5413
34,4605.128,3898.462,3831.282,4311.282,1606956573.5491
35,4610.769,3901.538,3832.308,4305.641,1606956573.5568
36,4611.795,3901.538,3840.513,4306.667,1606956573.5647
37,4609.231,3897.436,3836.923,4293.846,1606956573.5724
38,4608.205,3892.821,3830.769,4278.974,1606956573.5802
39,4611.282,3892.308,3831.282,4282.051,1606956573.5879
40,4617.949,3899.487,3840.0,4288.718,1606956573.5958
41,4620.513,3906.154,3851.282,4289.744,1606956573.6037
42,4614.872,3900.513,3853.333,4293.333,1606956573.6116
43,4608.718,3895.897,3849.231,4296.923,1606956573.6194
44,4606.154,3897.949,3848.205,4290.769,1606956573.6273
45,4604.615,3893.333,3845.128,4281.538,1606956573.6351
46,4601.026,3887.692,3842.564,4273.333,1606956573.6431
47,4601.026,3891.795,3849.744,4272.308,1606956573.6509
48,4604.103,3895.385,3854.359,4286.667,1606956573.6588
49,4601.026,3893.333,3847.179,4281.538,1606956573.6666
50,4600.513,3894.359,3846.154,4255.897,1606956573.6745
51,4607.692,3900.0,3859.487,4261.538,1606956573.6824
52,4607.179,3902.564,3863.077,4281.538,1606956573.6901
53,4583.59,3892.308,3848.718,4270.256,1606956573.6979
54,4557.949,3874.872,3837.949,4249.231,1606956573.7056
55,4567.179,3876.923,3846.667,4261.026,1606956573.7134
