,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
0,0.353,0.53,0.492,0.245,0.233,0.321,0.356,0.495,0.255,0.172,1606228655.2861
1,0.401,0.425,0.494,0.194,0.221,0.304,0.326,0.384,0.22,0.159,1606228655.4115
2,0.463,0.332,0.499,0.155,0.216,0.301,0.296,0.302,0.193,0.157,1606228655.5371
3,0.498,0.27,0.513,0.133,0.215,0.298,0.297,0.295,0.203,0.178,1606228655.6619
4,0.496,0.265,0.527,0.128,0.219,0.303,0.378,0.38,0.284,0.233,1606228655.7868
5,0.458,0.334,0.53,0.14,0.236,0.317,0.583,0.535,0.458,0.322,1606228655.9123
6,0.417,0.474,0.512,0.162,0.279,0.357,0.911,0.707,0.712,0.435,1606228656.0372
7,0.431,0.66,0.47,0.19,0.354,0.448,1.303,0.833,0.996,0.547,1606228656.1619
8,0.553,0.852,0.405,0.22,0.452,0.624,1.657,0.862,1.237,0.631,1606228656.2874
9,0.814,1.002,0.333,0.257,0.554,0.897,1.86,0.78,1.366,0.664,1606228656.4124
10,1.193,1.087,0.284,0.303,0.641,1.248,1.841,0.615,1.352,0.644,1606228656.5373
11,1.618,1.11,0.287,0.36,0.704,1.608,1.611,0.432,1.208,0.586,1606228656.6629
12,1.985,1.097,0.351,0.421,0.745,1.891,1.265,0.292,0.992,0.524,1606228656.7881
13,2.2,1.086,0.46,0.477,0.769,2.026,0.928,0.235,0.776,0.488,1606228656.9126
14,2.205,1.099,0.579,0.529,0.784,1.981,0.703,0.26,0.618,0.494,1606228657.038
15,2.001,1.135,0.673,0.579,0.786,1.777,0.628,0.337,0.545,0.535,1606228657.1632
16,1.657,1.171,0.722,0.628,0.771,1.492,0.671,0.421,0.543,0.597,1606228657.2878
17,1.266,1.18,0.723,0.673,0.74,1.207,0.77,0.482,0.578,0.66,1606228657.4131
18,0.922,1.157,0.689,0.705,0.7,0.981,0.878,0.512,0.61,0.71,1606228657.5385
19,0.668,1.099,0.638,0.722,0.672,0.847,0.963,0.507,0.613,0.737,1606228657.6632
20,0.502,0.997,0.598,0.726,0.667,0.789,1.003,0.463,0.578,0.737,1606228657.7888
21,0.405,0.857,0.591,0.726,0.683,0.764,0.982,0.385,0.511,0.713,1606228657.914
22,0.367,0.717,0.63,0.73,0.704,0.742,0.899,0.292,0.427,0.669,1606228658.0385
23,0.392,0.63,0.714,0.752,0.709,0.715,0.779,0.203,0.346,0.615,1606228658.1638
24,0.353,0.589,0.486,0.211,0.455,0.343,0.301,0.356,0.148,0.247,1606228664.6698
25,0.33,0.606,0.572,0.206,0.457,0.292,0.318,0.377,0.169,0.235,1606228664.7948
26,0.301,0.599,0.697,0.221,0.466,0.25,0.363,0.413,0.196,0.229,1606228664.9202
27,0.275,0.591,0.833,0.258,0.475,0.226,0.44,0.45,0.227,0.233,1606228665.0451
28,0.252,0.602,0.942,0.308,0.482,0.212,0.54,0.468,0.255,0.249,1606228665.17
29,0.247,0.644,0.989,0.356,0.49,0.209,0.645,0.452,0.276,0.272,1606228665.2954
30,0.269,0.711,0.959,0.389,0.506,0.216,0.723,0.398,0.285,0.296,1606228665.4204
31,0.319,0.781,0.864,0.4,0.531,0.233,0.751,0.321,0.281,0.313,1606228665.5451
32,0.384,0.827,0.737,0.392,0.561,0.259,0.728,0.244,0.266,0.319,1606228665.6705
