,P7,O1,O2,P8,TIME
0,4556.41,3918.974,3843.077,4265.641,1606508898.2228
1,4567.179,3923.077,3850.256,4277.949,1606508898.2307
2,4595.897,3950.256,3873.333,4305.641,1606508898.2385
3,4591.795,3949.231,3879.487,4309.231,1606508898.2463
4,4580.513,3944.103,3873.846,4297.949,1606508898.2541
5,4578.974,3946.154,3866.667,4289.744,1606508898.2618
6,4571.282,3941.026,3857.436,4282.564,1606508898.2696
7,4577.949,3943.59,3851.795,4281.538,1606508898.2773
8,4592.821,3950.256,3847.692,4286.154,1606508898.2852
9,4584.615,3946.154,3846.667,4286.667,1606508898.2929
10,4572.821,3945.641,3849.744,4277.436,1606508898.3007
11,4581.538,3952.308,3855.897,4272.821,1606508898.3084
12,4589.744,3953.333,3864.103,4283.077,1606508898.3162
13,4586.154,3955.385,3870.256,4297.436,1606508898.324
14,4576.41,3949.231,3863.59,4293.333,1606508898.3319
15,4570.769,3936.41,3855.385,4282.564,1606508898.3397
16,4578.974,3936.923,3860.0,4289.231,1606508898.3476
17,4591.795,3945.641,3867.692,4301.026,1606508898.3554
18,4585.641,3942.564,3870.769,4302.051,1606508898.3634
19,4574.359,3939.487,3867.692,4300.0,1606508898.3712
20,4591.795,3953.333,3870.256,4310.769,1606508898.3791
21,4612.308,3967.692,3886.667,4325.641,1606508898.3869
22,4599.487,3964.615,3891.282,4326.154,1606508898.3948
23,4581.538,3950.256,3874.359,4312.308,1606508898.4027
24,4591.795,3952.308,3872.821,4310.769,1606508898.4106
25,4603.59,3967.179,3883.59,4319.487,1606508898.4184
26,4597.436,3966.154,3880.513,4318.462,1606508898.4261
27,4589.231,3952.821,3867.179,4305.128,1606508898.4339
28,4587.179,3951.795,3863.077,4298.462,1606508898.4417
29,4573.846,3948.205,3865.128,4297.949,1606508898.4495
30,4567.179,3936.923,3863.077,4293.333,1606508898.4572
31,4589.744,3945.128,3859.487,4299.487,1606508898.465
32,4609.744,3960.513,3866.154,4317.436,1606508898.4727
33,4604.103,3959.487,3874.359,4325.128,1606508898.4806
34,4593.846,3949.231,3870.256,4319.487,1606508898.4883
35,4594.359,3948.205,3866.154,4314.872,1606508898.4961
36,4599.487,3958.462,3874.872,4316.41,1606508898.5038
37,4598.974,3965.641,3878.974,4315.897,1606508898.5117
38,4588.718,3957.949,3875.385,4314.872,1606508898.5196
39,4596.923,3960.513,3884.615,4332.821,1606508898.5275
40,4614.872,3972.821,3892.821,4354.872,1606508898.5353
41,4605.128,3968.205,3886.667,4346.154,1606508898.5432
42,4588.718,3962.051,3890.256,4329.231,1606508898.551
43,4596.41,3961.026,3886.667,4323.077,1606508898.559
44,4594.872,3941.026,3853.333,4304.103,1606508898.5668
45,4578.974,3928.718,3849.231,4298.974,1606508898.5747
46,4568.718,3937.949,3874.359,4315.385,1606508898.5825
47,4565.128,3939.487,3861.538,4306.154,1606508898.5904
48,4573.846,3940.0,3841.538,4296.923,1606508898.5983
49,4594.872,3954.359,3867.179,4325.641,1606508898.6061
50,4605.128,3958.462,3890.769,4346.154,1606508898.6139
51,4596.923,3953.333,3884.103,4338.974,1606508898.6216
52,4594.872,3959.487,3888.205,4344.615,1606508898.6294
53,4600.0,3967.692,3903.59,4357.436,1606508898.6372
54,4591.795,3961.538,3897.949,4343.59,1606508898.645
55,4573.333,3945.128,3873.333,4316.41,1606508898.6527
56,4578.462,3940.513,3865.641,4310.769,1606508898.6605
57,4599.487,3945.641,3865.641,4312.821,1606508898.6682
58,4591.795,3941.538,3851.282,4297.436,1606508898.676
59,4576.41,3932.308,3844.615,4289.744,1606508898.6838
60,4586.667,3939.487,3867.179,4309.744,1606508898.6916
61,4593.333,3951.795,3880.0,4321.538,1606508898.6993
62,4598.462,3961.538,3872.821,4322.051,1606508898.7072
63,4604.103,3968.205,3877.436,4336.923,1606508898.715
64,4587.179,3961.538,3887.179,4344.615,1606508898.723
65,4584.615,3957.949,3892.821,4343.59,1606508898.7308
66,4615.897,3971.795,3898.462,4349.744,1606508898.7387
67,4613.333,3976.41,3891.282,4344.103,1606508898.7465
68,4584.103,3957.949,3883.59,4333.333,1606508898.7544
69,4589.231,3945.641,3882.051,4331.795,1606508898.7623
70,4600.0,3945.128,3867.692,4318.974,1606508898.7702
71,4602.564,3951.282,3857.436,4311.282,1606508898.778
72,4601.538,3954.872,3865.128,4322.051,1606508898.7859
73,4588.205,3949.231,3876.41,4324.103,1606508898.7937
74,4581.026,3946.667,3882.564,4322.564,1606508898.8015
75,4596.41,3957.436,3877.436,4338.462,1606508898.8093
76,4604.103,3965.128,3876.923,4345.128,1606508898.817
77,4597.436,3963.077,3886.667,4333.333,1606508898.8248
78,4590.769,3956.923,3876.41,4322.564,1606508898.8325
79,4587.692,3946.667,3858.974,4320.0,1606508898.8404
80,4598.462,3946.667,3867.179,4321.538,1606508898.8481
81,4600.0,3952.821,3873.846,4319.487,1606508898.8559
